Team,Opponent,Season,Round,Score,Player,Aces,Unforced Errors,Forced Errors,1st Serve In,1st Serve Out,Double Faults,Winners,Errors Forced,win?,Team Score,Opponent Score,votes,
Black,Red,1,8,7-5,Damon Maurice,0,10,4,11,3,0,4,,TRUE,7,5,0,
Red,Navy,1,8,6-1,Angus Hume,0,1,2,2,3,0,2,,TRUE,6,1,0,
Red,Navy,1,8,6-1,Adam Dickson,0,3,3,7,4,0,4,,TRUE,6,1,2,
Navy,Red,1,8,1-6,Emerson Wise,0,3,3,3,9,4,0,,FALSE,1,6,1,
Navy,Red,1,8,1-6,Jack Raines,0,5,5,10,0,0,2,,FALSE,1,6,0,
Light Blue,Navy,1,9,1-6,Quinn Feikema,0,2,1,4,4,1,3,,FALSE,1,6,1,
Light Blue,Navy,1,9,1-6,Joel Trudgeon,0,3,2,2,4,0,1,,FALSE,1,6,0,
Navy,Light Blue,1,9,6-1,Emerson Wise,0,2,0,1,8,1,6,,TRUE,6,1,2,
Navy,Light Blue,1,9,6-1,Jack Raines,1,2,0,4,1,0,0,,TRUE,6,1,0,
White,Orange,1,9,7-5,Jonathan Kierce,0,11,3,5,7,0,10,,TRUE,7,5,2,
White,Orange,1,9,7-5,Ethan Seamer,0,3,2,1,13,2,2,,TRUE,7,5,0,
Orange,White,1,9,5-7,Luke Sharrock,0,4,3,2,9,0,2,,FALSE,5,7,1,
Orange,White,1,9,5-7,Damon Maurice (Fill-in),0,9,5,3,2,0,8,,FALSE,5,7,0,
Black,Yellow,1,9,6-3,Archie Littlejohn,0,7,2,4,3,0,2,,TRUE,6,3,2,
Black,Yellow,1,9,6-3,Damon Maurice,0,10,2,8,3,0,4,,TRUE,6,3,0,
Yellow,Black,1,9,3-6,Ed Simpson,0,13,4,6,4,0,2,,FALSE,3,6,0,
Yellow,Black,1,9,3-6,Jimmy Gorton,0,7,5,6,9,3,5,,FALSE,3,6,1,
Light Blue,Black,2,1,5-5,Emerson Wise,2,20,5,,,,4,0,FALSE,5,5,3,
Light Blue,Black,2,1,5-5,Angus Hume,1,7,1,,,,5,2,FALSE,5,5,,
Black,Light Blue,2,1,5-5,Charlie Simpson,0,8,0,,,,11,5,TRUE,5,5,6,
Black,Light Blue,2,1,5-5,Jim Papa,0,15,2,,,,1,1,TRUE,5,5,3,
